,ht,nmt1,nmt2,penmt1,penmt2,pesmt1,pesmt2,pesmt3,smt1,smt2,smt3,src
0,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,Intelligence - qu&apos; est-ce ?,L&apos; intelligence -- qu&apos; est-ce que c&apos; est ?,Intelligence -- qu&apos; est-ce que c&apos; est ?,Intelligence - qu&apos; est-ce ?,Intelligence -- qu&apos; est-ce que c&apos; est ?,Intelligence -- what is it ?
1,"Si nous jetons un œil à l&apos; histoire de la façon dont l&apos; intelligence a été vue , un exemple précurseur fut la célèbre citation d&apos; Edsger Dijkstra disant que la question &quot; Une machine peut-elle penser ? &quot; est à peu près aussi intéressante que la question &quot; Un sous-marin peut-il nager ? &quot;","Si nous regardons l&apos; histoire de comment l&apos; intelligence a été vue , un exemple fondateur a été Edsger Dijkstra célèbre citation que &quot; la question de savoir si une machine peut penser est aussi intéressante que la question de savoir si un sous-marin peut nager . &quot;","Si nous regardons l&apos; histoire de la façon dont l&apos; intelligence a été vue , un exemple fondateur a été la célèbre citation de : &quot; la question de savoir si une machine peut penser est aussi intéressante que la question de savoir si un sous-marin peut nager . &quot;","Si nous regardons l&apos; histoire de comment l&apos; intelligence a été considérée , un exemple fondateur a été la célèbre citation d&apos; Edsger Dijkstra que &quot; la question de savoir si une machine peut penser est aussi intéressante que la question de savoir si un sous-marin peut nager . &quot;","Si nous regardons l&apos; histoire de la façon dont l&apos; intelligence a été vue , un exemple fondateur a été la célèbre citation d&apos; Edsger Dijkstra : &quot; la question de savoir si une machine peut penser est aussi intéressante que la question de savoir si un sous-marin peut nager . &quot;","Si nous examinons l&apos; histoire de la façon dont l&apos; intelligence est vue , nous pouvons citer comme exemple précurseur Edsger Dijkstra qui a déclaré que : &quot; la question de savoir si une machine peut penser est aussi intéressante que celle de savoir si un sous-marin peut nager . &quot;","Si nous regardons rétrospectivement la façon dont l&apos; intelligence a été considérée , un exemple séminal a été la célèbre citation d&apos; Edsger Dijkstra qui est &quot; Se demander si un ordinateur peut penser est aussi intéressant que de se demander si un sous-marin peut nager . &quot;","Si nous regardons l&apos; histoire de la façon dont l&apos; intelligence a été considérée , un exemple phare a été la célèbre citation d&apos; Edsger Dijkstra disant que &quot; la question de savoir si une machine peut penser est aussi intéressante que la question de savoir si un sous-marin peut nager . &quot;","Si nous jetons un regard rétrospectif sur l&apos; histoire de comment intelligence a été vue , un exemple a été Edsger Dijkstra séminal est célèbre citation que &quot; la question de savoir si une machine peut penser que c&apos; est aussi intéressant que la question de savoir si un sous-marin peut nager . &quot;","Si nous prenons un regard rétrospectif sur l&apos; histoire de la façon dont l&apos; intelligence a été vue , un exemple séminal a été célèbre citation de Edsger Dijkstra que &quot; la question de savoir si une machine peut penser est à peu près aussi intéressant que la question de savoir si un sous-marin peut nager . &quot;","Si nous regardons à l&apos; histoire de comment l&apos; intelligence a été vue , un exemple séminal a été Edsger Dijkstra est célèbre citation que &quot; la question de savoir si une machine peut penser est aussi intéressantes que la question de savoir si un sous-marin peuvent nager .","If we take a look back at the history of how intelligence has been viewed , one seminal example has been Edsger Dijkstra &apos;s famous quote that &quot; the question of whether a machine can think is about as interesting as the question of whether a submarine can swim . &quot;"
2,"Edsger Dijkstra , en l&apos; écrivant , la dirigeait comme une critique des pionniers des sciences informatiques , comme Alan Turing .","Edsger Dijktra , quand il a écrit ceci , l&apos; a conçu comme une critique des premiers pionniers de la science informatique , comme Alan Turing .","Maintenant , , quand il a écrit ceci , l&apos; a conçu comme une critique des premiers pionniers de la science informatique , comme Alan Turing .","Edsger Dijktra , quand il a écrit ceci , l&apos; a conçu comme une critique des premiers pionniers de la science informatique , comme Alan Turing .","Maintenant , quand Edsger Dijkstra a écrit ceci , il l&apos; a pensé comme une critique des premiers pionniers de la science informatique , comme Alan Turing .","Cependant , lorsque Edsger Dijkstra a écrit cette phrase , son intention était de critiquer les premiers pionniers de l&apos; informatique comme Alan Turing .","Maintenant , Edsger Dijkstra , quand il a écrit cela , il le proposait comme une critique des premiers pionniers de l&apos; informatique , tel que Alan Turing .","Alors , Edsger Dijkstra , quand il a écrit ça , il l&apos; a présenté comme une critique des pionniers de l&apos; informatique , comme Alan Turing .","Maintenant , Edsger Dijkstra , quand il a écrit ça , conçu comme une critique des premiers pionniers de l&apos; informatique , Alan Turing .","Maintenant , Edsger Dijkstra , quand il a écrit ceci , destiné comme une critique des premiers pionniers de l&apos; informatique , comme Alan Turing .","Maintenant , Edsger Dijkstra , quand il a écrit ceci , comme une critique des pionniers d&apos; informatique , comme Alan Turing .","Now , Edsger Dijkstra , when he wrote this , intended it as a criticism of the early pioneers of computer science , like Alan Turing ."
3,"Cependant , si vous prenez du recul et pensez à ce qu&apos; étaient les innovations les plus puissantes qui nous ont permis de construire des machine artificielles sachant nager et des machines artificielles sachant voler , vous trouvez que ce fut uniquement à travers la compréhension des mécanismes physiques sous-jacents de la nage et du vol que nous avons pu construire ces machines .","Cependant , si vous regardez en arrière et pensez à ce qui a été le plus stimulant des innovations qui nous a permis de construire des machines artificielles qui nagent et des machines artificielles qui &#91; mouche &#93; , vous découvrez que c&apos; était seulement à travers la compréhension des mécanismes physiques sous-jacents de la natation et du vol que nous avons pu construire ces machines .","Cependant , si vous regardez en arrière et pensez à ce qui a été les innovations les plus qui nous ont permis de construire des machines artificielles qui et des machines artificielles qui volent , vous découvrez que ce n&apos; était que grâce à la compréhension des mécanismes physiques sous-jacents de la natation et du vol que nous avons pu construire ces machines .","Cependant , si vous regardez en arrière et pensez à ce qu&apos; ont été les innovations les plus stimulantes qui nous ont permis de construire des machines artificielles qui nagent et des machines artificielles qui &#91; volent &#93; , vous découvrez que c&apos; était seulement à travers la compréhension des mécanismes physiques sous-jacents de la natation et du vol que nous avons pu construire ces machines .","Cependant , si vous revenez en arrière et pensez aux innovations les plus stimulantes qui nous ont permis de construire des machines artificielles qui nagent et des machines artificielles qui volent , vous découvrez que ce n&apos; était que grâce à la compréhension des mécanismes physiques sous-jacents de la natation et de l&apos; aviation que nous avons pu construire ces machines .","Cependant , si vous jetez un coup d &quot; œil en arrière et réfléchissez aux innovations les plus émancipantes qui nous ont permis de construire des machines artificielles qui nagent et des machines artificielle qui &#91; volent &#93; , vous trouvez que c&apos; est seulement grâce à la compréhension des mécanismes physiques sous-jacents de la natation et du vol que nous avons été en mesure de construire ces machines .","Cependant , si vous regardez en arrière et que vous réfléchissez aux innovations les plus riches en possibilités qui nous ont permis de construire des machines artificielles qui nagent et des machines artificielles qui &#91; volent &#93; , vous trouvez que c&apos; était seulement à travers la compréhension des mécanismes physiques sous-jacents de la natation et du vol que nous avons pu construire ces machines .","Cependant , si vous regardez en arrière et que vous songez aux innovations les plus interessantes qui nous ont permis de concevoir des machines artificielles qui nagent et des machines artificielles qui &#91; volent &#93; , vous vous rendrez compte que c&apos; est uniquement après avoir compris les mécanismes physiques sous-jacents de la nage et du vol que nous avons réussi à concevoir ces machines .","Cependant , si vous jetez un coup d&apos; oeil en arrière et réfléchir à ce que l&apos; autonomisation ont été les plus innovations qui nous a permis de construire des machines qui artificielles nager et artificielle des machines qui &#91; mouche &#93; , vous trouvez que c&apos; était seulement grâce à la compréhension des mécanismes physiques sous-jacents de natation et vol que nous étions en mesure de construire ces machines .","Cependant , si vous jetez un regard en arrière et de réfléchir à ce qui ont été les innovations plus riches en possibilités qui nous ont permis de construire des machines artificielles qui nagent et machines artificielles qui &#91; voler &#93; , vous trouvez qu&apos; il était seulement à travers la compréhension des mécanismes physiques sous-jacents de la natation et vol que nous avons pu construire ces machines .","Cependant , si vous jetez un oeil et penser à ce qui ont été les plus stimulant innovations qui nous ont permis de construire des machines artificielle qui nagent et des machines artificielle qui &#91; voler &#93; , vous trouvez que c&apos; est seulement à comprendre les mécanismes physique sous-jacente de nager et vol que nous avons pu construire ces machines .","However , if you take a look back and think about what have been the most empowering innovations that enabled us to build artificial machines that swim and artificial machines that &#91; fly &#93; , you find that it was only through understanding the underlying physical mechanisms of swimming and flight that we were able to build these machines ."
4,"Donc , il y a plusieurs années , j&apos; ai entrepris un programme pour essayer de comprendre les mécanismes physiques fondamentaux sous-jacents à l&apos; intelligence .","Il y a plusieurs années , j&apos; ai entrepris un programme pour essayer de comprendre les mécanismes physiques fondamentaux de l&apos; intelligence sous-jacente .","Et donc , il y a plusieurs années , j&apos; ai entrepris un programme pour essayer de comprendre les mécanismes physiques fondamentaux de l&apos; intelligence .","Il y a plusieurs années , j&apos; ai entrepris un programme pour essayer de comprendre les mécanismes physiques fondamentaux sous-jacents de l&apos; intelligence .","Et donc , il y a plusieurs années , j&apos; ai élaboré un programme pour essayer de comprendre les mécanismes physiques sous-jacents à l&apos; intelligence .","Et donc , il y a plusieurs années , j&apos; ai entrepris un programme afin d&apos; essayer de comprendre les mécanismes physiques fondamentaux de l&apos; intelligence .","Et donc , il y a plusieurs années , je me suis engagé dans un programme pour essayer de comprendre les mécanismes physiques fondamentaux sous-jacents de l&apos; intelligence .","Et donc , il y a plusieurs années , j&apos; ai entrepris un programme pour essayer de comprendre les mécanismes physiques fondamentaux sous-jacents à l&apos; intelligence .","Et donc , il y a plusieurs années , j&apos; ai entrepris un programme d&apos; essayer de comprendre les mécanismes physiques fondamentales intelligence .","Et donc , il y a plusieurs années , je me suis engagé un programme pour essayer de comprendre les mécanismes physiques fondamentaux sous-jacents du renseignement .","Et donc , il y a plusieurs années , j&apos; ai entrepris un programme pour essayer de comprendre les mécanismes physique fondamentale intelligence sous-jacente .","And so , several years ago , I undertook a program to try to understand the fundamental physical mechanisms underlying intelligence ."
5,Prenons du recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Prenons un peu de recul .,Let &apos;s take a step back .
6,Commençons tout d&apos; abord avec une expérience de pensée .,Commençons par une expérience de pensée .,Commençons par une expérience de pensée .,Commençons par une expérience de pensée .,Commençons par un exercice de réflexion .,On va d&apos; abord commencer par une expérience de pensée .,Commençons d&apos; abord avec un exercice mental .,Commençons d&apos; abord par une réflexion .,On va d&apos; abord commencer par une expérience de pensée .,Commençons d&apos; abord avec une expérience de pensée .,Allons d&apos; abord commencer avec une expérience .,Let &apos;s first begin with a thought experiment .
7,"Supposons que vous êtes une race extra-terrestre qui ne sait rien ni de la biologie terrestre ni des neurosciences terrestres ou encore de l&apos; intelligence terrestre , mais vous avez des télescopes incroyables et vous êtes à même de voir la Terre , et vous avez de très longues vies , donc vous pouvez voir la Terre sur des millions , même des milliards d&apos; années .","Prétendre que vous êtes une race extra-terrestre qui ne sait rien sur la biologie de la Terre , la neuroscience de la Terre ou l&apos; intelligence de la Terre , mais vous avez des télescopes étonnants et vous êtes capable de regarder la Terre , et vous avez des vies incroyablement longues , donc vous êtes capable de regarder la Terre sur des millions , voire des milliards d&apos; années .","Prétendre que vous êtes une race étrangère qui ne connait rien sur la biologie de la Terre , la neuroscience de la Terre ou l&apos; intelligence de la Terre , mais vous avez des télescopes étonnants et vous êtes capable de regarder la Terre , et vous avez une vie incroyablement longue , donc vous êtes capable de regarder la Terre sur des millions , voire des milliards d&apos; années .","Prétendez que vous êtes une race extra-terrestre qui ne sait rien sur la biologie de la Terre , la neuroscience de la Terre ou l&apos; intelligence de la Terre , mais que vous avez des télescopes étonnants et que vous êtes capables de regarder la Terre , et que vous avez des vies incroyablement longues , donc vous êtes capables de regarder la Terre pendant des millions , voire des milliards d&apos; années .","Faites comme si vous étiez une race étrangère qui ne connait rien à la biologie de la Terre , la neuroscience de la Terre ou l&apos; intelligence de la Terre , mais vous avez des télescopes étonnants et vous êtes capable de regarder la Terre , et vous avez une vie incroyablement longue , donc vous êtes capable de regarder la Terre sur des millions , voire des milliards d&apos; années .","Imaginez que vous appartenez à une race d&apos; extraterrestre qui ne sait rien sur la biologie terrestre ou de la neuroscience terrestre ou de l&apos; intelligence terrestre , mais vous avez d&apos; incroyables télescopes et vous êtes en mesure de regarder la Terre , et vous avez une vie incroyablement longue , donc vous êtes en mesure de regarder la Terre pendant des millions , voire des milliards d&apos; années .","Imaginez que vous appartenez à une race extraterrestre qui ne sait rien au sujet de la biologie terrestre ou de la neuroscience terrestre ou de l&apos; intelligence terrestre , mais que vous avez des télescopes étonnants grâce auxquels vous pouvez observer la Terre , et que vous avez une durée de vie incroyablement longue , ce qui vous permet de d&apos; observer la Terre pendant des millions , voire des milliards d&apos; années .","Imaginez que vous êtes un extraterrestre qui ne sait rien sur la biologie , la neuroscience ou l&apos; intelligence de la Terre , mais vous avez des télescopes incroyables et vous êtes capable de voir la Terre et vous avez des vies incroyablement longues , vous pouvez donc observer la Terre pendant des millions d&apos; années , voire des milliards .","Imaginez que vous êtes un alien race qui ne sait rien sur la biologie de la Terre ou la Terre neurosciences ou Terre intelligence , mais vous avez incroyable télescopes et vous êtes en mesure de regarder la Terre , et vous avez incroyablement longues vies , si vous êtes en mesure de regarder la Terre pendant des millions , voire des milliards d&apos; années .","Imaginez que vous êtes une race extraterrestre qui ne sait rien au sujet de la biologie de la Terre ou neuroscience Terre ou de l&apos; intelligence de la Terre , mais vous avez des télescopes étonnants et vous êtes en mesure de regarder la Terre , et vous avez étonnamment longue durée de vie , de sorte que vous êtes capable de regarder la Terre depuis des millions , voire des milliards d&apos; années .","Pretend que vous êtes une course extra-terrestre qui ne sait pas quoi que ce soit sur Terre la biologie ou la Terre neuroscience ou la Terre intelligence , mais vous avez télescopes incroyable et vous êtes capable de voir la Terre , et vous avez incroyablement longues vies , si vous êtes capable de voir la Terre sur des millions , des milliards d&apos; années .","Pretend that you &apos;re an alien race that doesn &apos;t know anything about Earth biology or Earth neuroscience or Earth intelligence , but you have amazing telescopes and you &apos;re able to watch the Earth , and you have amazingly long lives , so you &apos;re able to watch the Earth over millions , even billions of years ."
8,Et vous verrez un phénomène très étrange .,Et vous observez un effet vraiment étrange .,Et vous observez un effet très étrange .,Et vous observez un effet vraiment étrange .,Et vous observez un effet très étrange .,Et vous observez vraiment un effet bizarre .,Et que vous observez un effet vraiment étrange .,Et vous observez un effet très étrange .,Et vous observez vraiment un effet bizarre .,Et vous observez un effet vraiment étrange .,Et vous observez un effet très étrange .,And you observe a really strange effect .
9,"Vous observerez que , durant le dernier millénaire , la Terre est continuellement bombardée d&apos; astéroïdes jusqu&apos; à un moment , et à ce moment , qui correspond à environ 2000 années de notre calendrier les astériodes sur une trajectoire de collision avec la Terre qui l&apos; auraient percutée ont mystérieusement dévié ou ont explosé avant de pouvoir atteindre la Terre .","Vous observez que , au cours des millénaires , la Terre est continuellement bombardée d&apos; astéroïdes jusqu&apos; à un certain point , et qu&apos; à un certain moment , correspondant à peu près à notre année , 2000 AD , astéroïdes qui sont sur une trajectoire de collision avec la Terre qui autrement aurait été en collision mystérieusement se détourner ou qu&apos; ils explosent avant qu&apos; ils ne puissent toucher la Terre .","Vous observez que , au cours des millénaires , la Terre est continuellement bombardé d&apos; astéroïdes jusqu&apos; à ce qu&apos; un point , et qu&apos; à un moment donné , qui correspond à peu près à notre année , l&apos; an 2000 , des astéroïdes qui sont sur une trajectoire de collision avec la Terre qui autrement aurait été mystérieusement , ou ils explosent avant qu&apos; ils ne puissent atteindre la Terre .","Vous observez que , au cours des millénaires , la Terre est continuellement bombardée d&apos; astéroïdes jusqu&apos; à un certain point , et qu&apos; à un certain moment , correspondant à peu près à notre année , 2000 après Jésus-Christ , des astéroïdes qui sont sur une trajectoire de collision avec la Terre et qui autrement auraient été en collision sont mystérieusement détournés ou explosent avant qu&apos; ils ne puissent toucher la Terre .","Vous observez que , au cours des millénaires , la Terre est continuellement bombardée d&apos; astéroïdes jusqu&apos; à un certain point , et qu&apos; à un moment donné , qui correspond à peu près à notre année , l&apos; an 2000 , des astéroïdes qui sont sur une trajectoire de collision avec la Terre qui autrement seraient entrés en collision sont mystérieusement déviés , ou ils explosent avant qu&apos; ils ne puissent atteindre la Terre .","Vous observez que , au cours des millénaires , la Terre est sans cesse bombardée d&apos; astéroïdes jusqu&apos; à un certain point , et ce à un moment donné , ce qui correspond à peu près à notre année , 2000 ap . JC , les astéroïdes qui sont sur une trajectoire de collision avec la Terre qui , autrement , se seraient percutés mystérieusement , auraient dévié ou explosé avant de pouvoir frapper la Terre .","Vous observez que , au cours des millénaires , la Terre est continuellement bombardée par des astéroïdes jusqu&apos; à un certain point , et qu&apos; à un moment donné , qui correspond à peu près à notre époque , année 2000 , les astéroïdes qui sont sur une trajectoire de collision avec la Terre , qui devraient la heurter , sont mystérieusement déviés ou explosent avant d&apos; atteindre la Terre .","Vous vous rendez compte , au cours du millénaire , que la Terre est constamment bombardés d&apos; astéroïdes jusqu&apos; à un certain point , et qu&apos; à un moment donné , correspondant à peu près à notre année 2000 , les astéroïdes qui sont sur une trajectoire de collision avec la Terre et qui devraient entrer en collision avec elle , sont mystérieusement détournés ou explosent avant de heurter la Terre .","Vous observer que , au cours des millénaires , la Terre est sans cesse bombardés d&apos; astéroïdes jusqu &apos; à un certain point , et ce à un moment donné , ce qui correspond à peu près à notre année , 2000 AD , astéroïdes qui sont sur une trajectoire de collision avec la Terre qui , autrement , auraient se seraient plus croisés mystérieusement avoir dévié ou ils exploser avant qu&apos; ils peuvent frapper la Terre .","Vous observer que , au cours des millénaires , la Terre est continuellement bombardée par des astéroïdes jusqu&apos; à un certain point , et que à un moment donné , ce qui correspond à peu près à notre année , 2000 AD , les astéroïdes qui sont sur une trajectoire de collision avec la Terre qui , autrement , serait ont heurté mystérieusement get déviées ou ils explosent avant de pouvoir frapper la Terre .","Vous observer que , au cours des millénaires , la Terre est constamment bombardés d&apos; astéroïdes jusqu&apos; à un certain point , et qu&apos; à un moment donné , correspondant à peu près à notre année 2000 AD , astéroïdes qui sont sur une trajectoire de collision avec la Terre qui autrement aurait en collision mystérieusement avoir détourné ou ils détoner avant de pouvoir frapper la Terre .","You observe that , over the course of the millennia , Earth is continually bombarded with asteroids up until a point , and that at some point , corresponding roughly to our year , 2000 AD , asteroids that are on a collision course with the Earth that otherwise would have collided mysteriously get deflected or they detonate before they can hit the Earth ."
