,best_feature,cv_accuracy,test_accuracy
en-de.penmt1,word_1gram,0.6343283582089553,0.6470588235294118
en-de.penmt2,word_1gram,0.6268656716417911,0.6764705882352942
en-de.penmt3,word_1gram,0.6343283582089553,0.6176470588235294
en-de.penmt4,pos_4gram,0.6567164179104478,0.5588235294117647
en-de.pesmt1,pos_2gram,0.6716417910447762,0.7058823529411765
en-de.pesmt2,word_1gram,0.6791044776119403,0.7352941176470589
en-de.pesmt3,word_1gram,0.6268656716417911,0.5882352941176471
en-de.pesmt4,word_1gram,0.6417910447761194,0.6176470588235294
en-fr.penmt1,word_2gram,0.664179104477612,0.5588235294117647
en-fr.penmt2,word_1gram,0.6417910447761194,0.5882352941176471
en-fr.pesmt1,word_2gram,0.6417910447761194,0.5294117647058824
en-fr.pesmt2,word_3gram,0.7014925373134329,0.5588235294117647
en-fr.pesmt3,word_3gram,0.6343283582089553,0.5588235294117647
