,best_combination,cv_accuracy,test_accuracy
en-de.penmt1,word_1gram+word_2gram+word_4gram+pos_4gram,0.6940298507462687,0.7058823529411765
en-de.penmt2,word_1gram+pos_3gram,0.6716417910447762,0.7058823529411765
en-de.penmt3,word_1gram+word_2gram+word_3gram+word_4gram+pos_2gram+pos_5gram,0.6791044776119403,0.7352941176470589
en-de.penmt4,word_1gram+word_4gram+pos_2gram+pos_4gram+pos_5gram,0.6865671641791045,0.7352941176470589
en-de.pesmt1,word_2gram+word_3gram+pos_2gram+pos_4gram,0.7313432835820896,0.6470588235294118
en-de.pesmt2,word_1gram+word_2gram+word_5gram+pos_2gram+pos_5gram,0.7238805970149254,0.7058823529411765
en-de.pesmt3,word_1gram+pos_5gram,0.664179104477612,0.6764705882352942
en-de.pesmt4,word_1gram+word_2gram+pos_5gram,0.664179104477612,0.6470588235294118
en-fr.penmt1,word_1gram+word_2gram+word_4gram+pos_1gram+pos_4gram,0.7238805970149254,0.5882352941176471
en-fr.penmt2,word_1gram+word_3gram+word_5gram+pos_2gram+pos_5gram,0.7313432835820896,0.7058823529411765
en-fr.pesmt1,word_2gram+word_3gram+word_4gram+word_5gram+pos_2gram+pos_5gram,0.7238805970149254,0.5
en-fr.pesmt2,word_1gram+word_2gram+word_3gram+word_4gram+pos_2gram+pos_5gram,0.7761194029850746,0.5882352941176471
en-fr.pesmt3,word_1gram+word_3gram+word_4gram+pos_3gram+pos_4gram,0.7089552238805971,0.5882352941176471
